Designator,Mid X,Mid Y,Rotation,Layer
C1,28.92,-26.79,90.0,top
C10,25.4,-39.8,0.0,bottom
C11,28.4,-39.8,180.0,bottom
C15,23.36,-30.71,0.0,bottom
C17,29.61,-30.18,90.0,top
C18,18.955,-40.51,180.0,top
C2,27.15,-27.4,0.0,top
C25,28.93,-34.94,90.0,top
C26,23.81,-35.22,90.0,top
C27,27.18,-29.28,270.0,top
C28,23.52,-33.78,180.0,top
C29,30.56,-29.32,270.0,bottom
C3,25.75,-27.85,90.0,top
C31,36.29,-27.59,270.0,bottom
C33,39.705,-17.35,0.0,top
C39,35.33,-23.79,180.0,top
C4,25.98,-21.25,180.0,top
C40,32.31,-22.84,180.0,top
C41,30.84,-23.51,270.0,top
C42,34.71,-29.76,0.0,top
C43,35.44,-40.49,270.0,bottom
C45,30.39,-41.1,270.0,bottom
C46,21.995,-41.45,0.0,top
C5,24.55,-21.7,90.0,top
C53,30.22,-32.05,270.0,top
C54,30.22,-33.89,270.0,top
C55,30.65,-35.35,0.0,top
C56,35.69,-31.24,180.0,top
C57,35.6,-39.5,90.0,top
C58,39.8,-41.3,270.0,top
C59,37.28,-39.29,270.0,bottom
C6,29.72,-21.1,0.0,bottom
C61,33.1,-37.0,270.0,top
C62,33.1,-39.1,270.0,top
C63,31.2,-41.1,0.0,top
C7,25.4,-41.3,0.0,bottom
C8,21.575,-17.95,0.0,top
C9,28.375,-41.3,180.0,bottom
D4,36.6775,-16.79,0.0,bottom
J1,29.75,-17.4,0.0,top
L1,34.4,-39.0,270.0,top
Q1,19.3,-20.44,270.0,top
Q10,19.31,-34.57,270.0,bottom
Q11,19.281298,-38.005,270.0,top
Q12,19.31,-37.98,270.0,bottom
Q13,40.21,-19.82,90.0,top
Q14,40.29,-20.42,90.0,bottom
Q15,40.21,-23.23,90.0,top
Q16,40.29,-23.88,90.0,bottom
Q17,40.21,-26.68,90.0,top
Q18,40.3,-27.3,90.0,bottom
Q19,40.31,-30.82,90.0,top
Q2,19.277884,-20.47,270.0,bottom
Q20,40.380648,-31.088689,90.0,bottom
Q21,40.3,-34.3,90.0,top
Q22,40.39,-34.53,90.0,bottom
Q23,40.31,-37.71,90.0,top
Q24,40.391144,-37.960238,90.0,bottom
Q3,19.31,-23.885,270.0,top
Q4,19.277884,-23.895,270.0,bottom
Q5,19.31,-27.345,270.0,top
Q6,19.277884,-27.36,270.0,bottom
Q7,19.266298,-31.1,270.0,top
Q8,19.31,-31.12,270.0,bottom
Q9,19.276298,-34.545,270.0,top
R1,22.36,-22.15,180.0,top
R10,28.9,-18.3,180.0,bottom
R11,25.29,-15.87,180.0,bottom
R13,27.58,-15.92,0.0,bottom
R15,27.04,-34.6971,90.0,bottom
R16,29.78,-15.93,0.0,bottom
R18,32.87,-21.07,270.0,bottom
R19,31.48,-33.27,180.0,bottom
R2,22.3,-21.45,0.0,bottom
R21,26.65,-39.225,180.0,top
R22,34.81,-33.24,180.0,bottom
R25,28.98,-28.53,0.0,top
R26,31.2,-21.01,270.0,top
R27,22.36,-32.85,180.0,top
R28,22.4,-32.15,0.0,bottom
R29,30.83,-30.12,270.0,top
R3,22.36,-25.65,180.0,top
R30,36.14,-28.99,0.0,bottom
R31,28.96,-38.11,90.0,bottom
R32,22.36,-36.25,180.0,top
R33,22.394795,-35.444577,0.0,bottom
R34,23.26,-34.51,180.0,bottom
R35,34.03,-30.28,0.0,bottom
R36,36.25,-30.92,0.0,bottom
R37,22.35,-39.65,180.0,top
R38,22.355008,-38.841674,0.0,bottom
R39,23.26,-33.55,180.0,bottom
R4,22.34,-24.85,0.0,bottom
R40,32.11,-30.27,180.0,bottom
R42,34.64,-20.27,270.0,top
R43,35.58,-20.27,90.0,top
R45,34.9,-24.51,270.0,bottom
R46,32.88,-23.84,180.0,bottom
R47,37.19,-17.9,0.0,top
R48,37.19,-18.9,180.0,bottom
R49,36.54,-35.1,180.0,top
R5,22.34,-29.2,180.0,top
R52,37.19,-21.55,0.0,top
R53,37.2,-22.55,180.0,bottom
R57,37.19,-24.95,0.0,top
R58,37.19,-26.05,180.0,bottom
R6,22.39,-28.35,0.0,bottom
R64,39.26,-16.79,180.0,bottom
R65,31.34,-41.12,90.0,bottom
R66,33.3,-21.01,270.0,top
R67,37.24,-28.9,0.0,top
R68,37.25,-29.98,180.0,bottom
R7,25.3,-25.54,90.0,bottom
R72,37.24,-32.6,0.0,top
R73,37.25,-33.6,180.0,bottom
R77,37.29,-36.05,0.0,top
R78,37.29,-37.05,180.0,bottom
R8,29.69,-20.5,180.0,top
R82,34.5,-41.3,0.0,top
R83,29.92,-38.12,90.0,bottom
R9,25.0729,-18.35,0.0,bottom
TP1,29.64,-25.08,0.0,bottom
TP2,24.95,-27.56,0.0,bottom
TP3,24.02,-37.06,0.0,bottom
TP4,21.98,-40.69,0.0,bottom
TP5,35.63,-21.53,0.0,bottom
TP6,28.8,-27.07,0.0,bottom
TP7,33.65,-40.96,0.0,bottom
TP8,37.23,-41.57,0.0,bottom
U1,26.85,-24.3,0.0,top
U10,37.63,-41.1,180.0,top
U11,31.0,-38.2,0.0,top
U12,29.799969,-29.2,0.0,top
U2,27.3,-23.1,270.0,bottom
U3,32.85,-17.74,180.0,bottom
U4,27.53,-30.58,90.0,bottom
U5,26.89,-32.455,90.0,top
U6,32.91,-26.96,90.0,bottom
U7,32.87,-26.55,180.0,top
U8,33.1,-37.86,270.0,bottom
U9,33.2,-33.3,270.0,top
