Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C19, C2, C20, C21, C22, C23, C24, C25, C26, C3, C6, C7, C8, C9",0402,16,100nF,
"C11, C28, C29",0402,3,2.2uF,
C12,0402,1,10nF,
"C13, C14, C15, C16",0402,4,1uF,
"C17, C18",0402,2,22nF,
"C27, C30",CP_Elec_4x5.4,2,22uF,
"C4, C5",CP_Elec_4x5.4,2,47uF,
"D1, D2",0603,2,LED,
"D3, D4",D_SOD-323,2,D_Schottky,
J1,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,1,Camera,
J2,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,ELRS,
J3,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,Buzzer,
J4,JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical,1,VTX,
J5,JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical,1,ESC,
J6,SHOUHAN_MICROXNJ,1,USB_B_Micro,
J7,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,Debug,
J8,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,UART5,
J9,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,1,UART4,
"L1, L2",INDC1608X95N,2,2.2uH/2A,
Q1,SOT-23,1,Q_PMOS,
"R1, R2, R5, R6",0402,4,75,
"R11, R15, R4",0402,3,100k,
"R12, R13",0402,2,2.2K,
"R14, R3",0402,2,10k,
"R7, R8",0402,2,22,
R9,0402,1,1k,
SW2,SW_TS-1088-AR02016,1,SW_Push,
T2,TestPoint_Pad_D1.0mm,1,5V Bec,
T3,TestPoint_Pad_D1.0mm,1,3.3V IMU,
T4,TestPoint_Pad_D1.0mm,1,3.3V,
T6,TestPoint_Pad_D1.0mm,1,5V VTX,
TP5,TestPoint_Pad_D1.0mm,1,4.5V,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U10,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U2,PQFN50P300X250X97-14N,1,ICM-42688-P,
U3,21-0108G_U28E-5_MXM,1,max7456eui+,
"U4, U5",WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias,2,TPS62173DSG,
U6,SOT-223-3_TabPin2,1,BL8072CLTR33,
U7,SOT-223-3_TabPin2,1,SGM2212-3.3XKC3G/TR,
U8,SOIC_208MIL_WIN,1,W25Q128JVSIQ TR,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,27MHz,
Y2,OSC_CSTNE8M00G520000R0,1,CSTNE8M00G520000R0,
