Designator,Mid X,Mid Y,Rotation,Layer
C1,94.425,-31.425,0.0,bottom
C10,87.965,-30.75,270.0,bottom
C11,88.415,-29.375,180.0,bottom
C12,87.965,-32.575,90.0,bottom
C13,88.975,-35.675,270.0,bottom
C14,88.975,-37.53,90.0,bottom
C15,79.95,-37.375,270.0,bottom
C16,84.35,-36.85,180.0,bottom
C17,84.35,-37.8,180.0,bottom
C18,84.35,-38.75,180.0,bottom
C19,85.35,-29.6,180.0,top
C2,98.4425,-32.5425,90.0,bottom
C20,85.355,-28.675,180.0,top
C21,102.075,-35.355,270.0,bottom
C22,88.275,-22.2,90.0,top
C23,85.35,-30.55,180.0,top
C24,98.725,-23.325,90.0,top
C25,97.625,-34.625,270.0,top
C26,90.175,-35.6,180.0,top
C27,102.9,-21.675,90.0,bottom
C28,97.7,-22.205,90.0,top
C29,96.195,-35.6,0.0,top
C3,87.2,-23.305,90.0,top
C30,95.925,-23.425,180.0,bottom
C4,90.0,-24.9,90.0,bottom
C5,95.525,-28.35,180.0,bottom
C6,87.05,-16.425,180.0,bottom
C7,79.275,-20.42,270.0,bottom
C8,79.25,-23.05,90.0,bottom
C9,100.275,-34.175,0.0,top
D1,86.325,-16.575,90.0,top
D2,84.725,-16.575,90.0,top
D3,99.4,-20.6,90.0,bottom
D4,82.475,-35.45,0.0,top
J1,102.717278,-30.96192,270.0,top
J2,102.75,-23.175,270.0,top
J3,102.048229,-38.67153,0.0,top
J4,94.45,-39.0,180.0,top
J5,96.38,-17.69,0.0,top
J6,84.85,-41.75,180.0,top
J7,102.05,-36.0,180.0,top
J8,81.405,-21.555,90.0,top
J9,81.4,-30.525,90.0,top
L1,96.05,-20.2,180.0,bottom
L2,101.125,-16.635,90.0,bottom
Q1,92.85,-18.1,90.0,bottom
R1,92.575,-30.415,270.0,bottom
R11,98.325,-18.275,0.0,bottom
R12,94.4275,-33.4675,180.0,bottom
R13,94.4325,-32.4925,180.0,bottom
R14,86.575,-19.96,90.0,top
R15,94.0,-19.925,270.0,bottom
R2,100.25,-33.225,0.0,top
R3,93.0,-20.8,0.0,top
R4,91.6,-20.15,270.0,top
R5,84.25,-18.525,180.0,top
R6,86.125,-18.525,0.0,top
R7,85.524999,-35.497736,90.0,top
R8,84.575,-35.5,90.0,top
R9,90.35,-16.65,0.0,bottom
SW2,88.75,-18.075,90.0,top
T2,92.3,-21.075,0.0,bottom
T3,83.875,-40.425,0.0,bottom
T4,99.5,-40.65,0.0,bottom
T6,102.9,-17.05,0.0,bottom
TP5,79.8,-35.55,0.0,top
U1,92.975,-28.425,270.0,top
U10,96.6675,-32.4675,0.0,bottom
U2,89.94,-31.6,90.0,bottom
U3,83.59765,-21.574999,0.0,bottom
U4,98.75,-16.475,180.0,bottom
U5,95.8175,-17.4925,270.0,bottom
U6,94.05,-37.6125,0.0,bottom
U7,82.3375,-31.9,270.0,bottom
U8,101.9,-29.725,90.0,bottom
Y1,89.3,-19.325,90.0,bottom
Y2,84.45,-26.225,270.0,top
